0,1,2,3,4,5,6,7,8,9,10,11,12,13,
Shape,rectangle,rectangle,rectangle,rectangle,triangle,triangle,triangle,triangle,triangle,rectangle,rectangle,triangle,rectangle,rectangle
Length,600,600,2400,2400,450,450,450,450,1800,1800,600,1800,1800,600
Height,3200,3200,500,300,150,150,150,150,300,150,300,300,150,300
Grid X,3500,6500,4100,4100,4100,6050,4100,6050,1700,1700,1700,7100,7100,8300
Grid Y,3500,3500,3500,6400,6250,6250,4000,4000,6400,6550,6700,6400,6550,6700
Area,1920000,1920000,1200000,720000,33750,33750,33750,33750,270000,270000,180000,270000,270000,180000
Centroidal X,3800,6800,5300,5300,4250,6350,4250,6350,2900,2600,2000,7700,8000,8600
Centroidal Y,5100,5100,3750,6550,6350,6350,4050,4050,6600,6625,6850,6600,6625,6850
I-X,1.64E+12,1.64E+12,25000000000,5400000000,42187500,42187500,42187500,42187500,1350000000,506250000,1350000000,1350000000,506250000,1350000000
I-Y,57600000000,57600000000,5.76E+11,3.46E+11,379687500,379687500,379687500,379687500,48600000000,72900000000,5400000000,48600000000,72900000000,5400000000
Bridge Centroid,5300,5331.90184,,,,,,,,,,,,
Centroidal MOI,1.98E+13,7.06E+12,,,,,,,,,,,,
