,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Shape,rectangle,rectangle,rectangle,rectangle,triangle,triangle,triangle,triangle,triangle,rectangle,rectangle,triangle,rectangle,rectangle
Length,0.6,0.6,2.4,2.4,0.45,0.45,0.45,0.45,1.8,1.8,0.6,1.8,1.8,0.6
Height,3.2,3.2,0.5,0.3,0.15,0.15,0.15,0.15,0.3,0.15,0.3,0.3,0.15,0.3
Grid X,3.5,6.5,4.1,4.1,4.1,6.05,4.1,6.05,1.7,1.7,1.7,7.1,7.1,8.3
Grid Y,3.5,3.5,3.5,6.4,6.25,6.25,4,4,6.4,6.55,6.7,6.4,6.55,6.7
Area,1.92,1.92,1.2,0.72,0.03375,0.03375,0.03375,0.03375,0.27,0.27,0.18,0.27,0.27,0.18
Centroidal X,3.8,6.8,5.3,5.3,4.25,6.35,4.25,6.35,2.9,2.6,2,7.7,8,8.6
Centroidal Y,5.1,5.1,3.75,6.55,6.35,6.35,4.05,4.05,6.6,6.625,6.85,6.6,6.625,6.85
I-X,1.6384,1.6384,0.025,0.0054,4.22E-05,4.22E-05,4.22E-05,4.22E-05,0.00135,0.00050625,0.00135,0.00135,0.00050625,0.00135
I-Y,0.0576,0.0576,0.576,0.3456,0.000379688,0.000379688,0.000379688,0.000379688,0.0486,0.0729,0.0054,0.0486,0.0729,0.0054
Dead Loads,48,48,30,18,0.84375,0.84375,0.84375,0.84375,6.75,6.75,4.5,6.75,6.75,4.5
Lever Arm,1.5,1.5,8.88E-16,8.88E-16,1.05,1.05,1.05,1.05,2.4,2.7,3.3,2.4,2.7,3.3
Dead Load Moments,72,72,2.66E-14,1.60E-14,0.8859375,0.8859375,0.8859375,0.8859375,16.2,18.225,14.85,16.2,18.225,14.85
Bridge Centroid,5.3,5.33190184,,,,,,,,,,,,
Centroidal MOI,11.535,7.059559969,,,,,,,,,,,,
Sum of Dead Load Moment,246.09375,246.09375,,,,,,,,,,,,
