-387.84,1074.701
-378.9845664,1073.047
-377.7280565,1072.718
-376.9040078,1072.716
-372.8562969,1072.691
-369.7772046,1071.712
-365.9770501,1071.312
-357.0550973,1070.596
-332.1247511,1067.173
-298.1060443,1065.827
-179.9906544,1065.015
-176.8127842,1065.192
-176.5763875,1065.209
-174.1975187,1065.119
-156.6831495,1064.487
-121.3383292,1063.784
-116.2277739,1063.799
-106.6742512,1063.821
-89.29489618,1064.225
-71.50314106,1064.306
-67.71941636,1064.391
-54.84523292,1063.766
-42.85333574,1063.247
-40.85625557,1063.348
-9.02859582,1063.844
-6.512109893,1063.836
-4.564021753,1063.859
0,1063.916
29.36422533,1064.282
32.72634942,1064.242
35.98116998,1064.002
45.94331481,1063.254
59.99430052,1063.167
73.40778423,1063.738
77.84881716,1063.952
77.93345789,1063.711
89.2717993,1064.161
93.02736001,1065.921
94.40261168,1066.629
94.47326285,1066.664
100.0620468,1067.33
104.9320606,1069.652
107.536059,1069.811
120.27578,1069.291
126.9491903,1069.127
139.5192944,1068.643
147.9950259,1068.272
153.6938004,1069.275
165.3336823,1072.413
176.2177445,1074.255
178.4436582,1074.694
179.7157169,1074.699
184.2639025,1074.872
184.6781066,1074.897
200.3485233,1076.21
218.0883879,1072.609
231.2385485,1073.892
234.5346909,1074.461
