,Section at,S+ PDL,S- PDL,S+ ODL,S- ODL,S+ PEDL,S- PEDL,S+ SIDL,S- SIDL
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.25,5665.048246622621,3722.761596347591,343.536453439506,225.75347289804643,104.61080280971117,68.74453002148036,226.73405927007397,148.99729211271062
2,12.5,10219.30271939767,6715.56993850938,619.712817969305,407.2415589533386,188.70968349987115,124.00974043090575,409.0104598597412,268.7794289092035
3,18.75,13662.763418325145,8978.425026485367,828.5290935893968,544.4642581658767,252.29664207047986,165.79563122827614,546.8292017690019,359.3464103894786
4,25.0,15995.430343405047,10511.326860275552,969.9852802997816,637.4215705356604,295.37167852153743,194.10220241359158,640.1902849978559,420.6982365535358
5,31.25,17217.30349463738,11314.275439879935,1044.0813781004595,686.11349606269,317.93479285304375,208.92945398685205,689.0937095463032,452.83490740137546
6,37.5,17328.382872022135,11387.270765298514,1050.81738699143,690.5400347469655,319.9859850649989,210.27738594805754,693.5394754143439,455.7564229329972
7,43.75,16328.668475559321,10730.312836531291,990.1933069726938,650.7011865884867,301.5252551574028,198.14599829720805,653.5275826019779,429.46278314840123
8,50.0,14218.160305248932,9343.401653578267,862.2091380442504,566.5969515872537,262.5526031302555,172.53529103430364,569.0580311092052,373.9539880475875
